car_type,sheet_name,n_rows,measured_mean_b,measured_median_b,measured_p95_b,measured_max_b,measured_mean_e,measured_median_e,measured_p95_e,measured_max_e,icnirp_limit_b_ut,exceeds_icnirp,exceed_margin_icnirp,ieee_limit_b_ut,exceeds_ieee,exceed_margin_ieee,cv_splits,best_params,what_if_pred_b,what_if_pred_e,png,csv
hybrid,Accelerating,9,10.175444444444445,1.977,45.91239999999998,73.28,1.5585555555555555,1.45,2.57,2.57,200.0,False,-126.72,904.0,False,-830.72,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",20.23878603571429,1.8293616031746027,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__accelerating.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__accelerating.csv
mildhybrid,High Voltage power lines around,9,5.216333333333334,1.423,22.279599999999988,35.55,1.3244444444444443,0.94,2.9639999999999995,3.42,200.0,False,-164.45,904.0,False,-868.45,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.3989454166666686,1.246382063492064,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__high_voltage_power_lines_around.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__high_voltage_power_lines_around.csv
hybrid,High voltage power lines,9,7.029555555555557,0.93,29.309999999999995,33.31,2.08,1.4,3.3499999999999996,3.63,200.0,False,-166.69,904.0,False,-870.69,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",1.3751539365079364,1.4131861904761869,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__high_voltage_power_lines.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__high_voltage_power_lines.csv
mildhybrid,Around the city,9,3.426888888888889,1.754,11.206799999999998,16.67,2.1021111111111113,1.93,3.018,3.39,200.0,False,-183.32999999999998,904.0,False,-887.33,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.7065120396825404,2.088144051587298,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__around_the_city.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__around_the_city.csv
hybrid,Around the city,9,3.8157777777777775,2.87,9.012,9.2,1.1022222222222222,1.21,1.34,1.34,200.0,False,-190.8,904.0,False,-894.8,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",1.4027573238095223,1.199485333333331,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__around_the_city.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__around_the_city.csv
electric,Around the city,9,1.9244444444444444,0.802,5.5846,6.019,1.1333333333333333,1.27,1.8259999999999998,1.99,200.0,False,-193.981,904.0,False,-897.981,3,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",1.0121819285714273,1.214393214285714,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__around_the_city.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__around_the_city.csv
mildhybrid,Braking,9,2.2274444444444446,1.485,4.6952,5.53,1.1266666666666667,0.97,1.912,1.92,200.0,False,-194.47,904.0,False,-898.47,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",1.973949458333332,1.1571133333333337,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__braking.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__braking.csv
mildhybrid,Accelerating,9,2.236666666666667,1.699,4.64,5.122,0.7122222222222222,0.78,1.24,1.24,200.0,False,-194.878,904.0,False,-898.878,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",1.527112797619048,0.5121099404761905,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__accelerating.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__accelerating.csv
hybrid,Braking,9,3.0728888888888886,2.73,4.4845999999999995,5.033,0.9666666666666668,0.88,1.9959999999999996,2.64,200.0,False,-194.967,904.0,False,-898.967,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.4546656507936513,1.159360396825397,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__braking.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__braking.csv
electric,High voltage power lines around,9,2.1759999999999997,2.026,4.3464,4.634,0.8888888888888888,0.63,1.9159999999999995,2.52,200.0,False,-195.36599999999999,904.0,False,-899.366,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.232490011904762,0.8978391269841269,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__high_voltage_power_lines_around.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__high_voltage_power_lines_around.csv
hybrid,Vicinity of charging stations,9,1.5198888888888888,1.145,2.967199999999999,3.806,1.7833333333333334,1.07,2.97,2.97,200.0,False,-196.194,904.0,False,-900.194,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",1.231223438888888,1.4731839523809596,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__vicinity_of_charging_stations.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__vicinity_of_charging_stations.csv
electric,Vicinity of charging stations,9,1.6623333333333334,1.221,3.3771999999999998,3.766,0.9533333333333331,1.16,1.16,1.16,200.0,False,-196.234,904.0,False,-900.234,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",1.0444331706349235,1.1451200000000066,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__vicinity_of_charging_stations.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__vicinity_of_charging_stations.csv
electric,While charging,9,2.207333333333333,2.441,2.674,2.73,1.2455555555555555,1.33,1.44,1.44,200.0,False,-197.27,904.0,False,-901.27,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.018630694444443,1.1226803571428574,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__while_charging.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__while_charging.csv
mildhybrid,Vicinity of charging stations,9,1.141,0.866,2.4132,2.602,1.2655555555555553,0.9,2.21,2.29,200.0,False,-197.398,904.0,False,-901.398,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.8754970833333311,1.4566729047619018,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__vicinity_of_charging_stations.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__vicinity_of_charging_stations.csv
electric,Braking,9,1.1154444444444445,1.004,1.59,1.59,1.1766666666666667,0.85,2.54,2.54,200.0,False,-198.41,904.0,False,-902.41,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",1.1127927317460318,1.232237523809522,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__braking.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__braking.csv
electric,Accelerating,9,1.0665555555555555,1.069,1.5062,1.559,1.1644444444444444,1.05,2.5079999999999996,3.02,200.0,False,-198.441,904.0,False,-902.441,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",1.1654376111111118,1.624938531746031,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__accelerating.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__accelerating.csv
electric,Starting the engine,9,1.0736666666666668,1.007,1.3712,1.424,0.7344444444444445,0.86,1.3159999999999998,1.44,200.0,False,-198.576,904.0,False,-902.576,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",1.0140445825396829,0.6246581904761905,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__starting_the_engine.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_electric__starting_the_engine.csv
mildhybrid,Starting the engine,9,0.7266666666666667,0.633,1.0072,1.064,0.5911111111111111,0.59,0.872,0.92,200.0,False,-198.936,904.0,False,-902.936,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.6597450396825397,0.574756468253968,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__starting_the_engine.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_mildhybrid__starting_the_engine.csv
hybrid,Starting the engine,9,0.7322222222222222,0.659,0.976,1.01,0.6166666666666667,0.62,0.9019999999999999,0.97,200.0,False,-198.99,904.0,False,-902.99,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.864903607142857,0.6144144444444442,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__starting_the_engine.png,C:\Users\florin.sanaja\Documents\punimdiplome\PunimDiplomePerMaster\results\feature_importance_hybrid__starting_the_engine.csv
