feature,mean,count
cat__Location (front/rear seat/inside front shield)_rear seat,0.3748825907594394,7
cat__Location (front/rear seat/inside front shield)_inside front shield ,0.3712009624727465,5
cat__Location (front/rear seat/inside front shield)_front,0.28588336069884634,5
cat__Location (front/rear seat/inside front shield)_front ,0.1999761085813868,2
cat__Location (front/rear seat/inside front shield)_inside front shield,0.11084675251708209,2
num__Speed,0.06696493237557453,7
cat__Area description (Traffic and road conditions)_The vehicle is stationary,0.0,1
cat__Area description (Traffic and road conditions)_little to no traffic,0.0,1
cat__Area description (Traffic and road conditions)_heavy traffic on the road,0.0,1
"cat__Area description (Traffic and road conditions)_parking area, reagional road near ",0.0,2
cat__Area description (Traffic and road conditions)_regional road with heavy traffic,0.0,2
