car_type,sheet_name,n_rows,measured_mean_b,measured_median_b,measured_p95_b,measured_max_b,measured_mean_e,measured_median_e,measured_p95_e,measured_max_e,icnirp_limit_b_ut,cv_splits,best_params,what_if_pred_b,what_if_pred_e
hybrid,acclerating,9,10.175444444444445,1.977,45.91239999999998,73.28,1.5585555555555555,1.45,2.57,2.57,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",23.28116450793654,1.7395699365079367
mildhybrid,High Voltage power lines around,9,5.216333333333334,1.423,22.279599999999988,35.55,1.3244444444444443,0.94,2.9639999999999995,3.42,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.3674599166666677,1.252264563492064
hybrid,High Voltage power lines around,9,7.029555555555557,0.93,29.309999999999995,33.31,2.08,1.4,3.3499999999999996,3.63,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",1.3751539365079364,1.4131861904761869
mildhybrid,urban_cruising,9,3.426888888888889,1.754,11.206799999999998,16.67,2.1021111111111113,1.93,3.018,3.39,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.693213781746032,2.035222623015869
hybrid,urban_cruising,9,3.8157777777777775,2.87,9.012,9.2,0.9666666666666668,0.88,1.9959999999999996,2.64,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",1.3975006571428557,1.208884722222222
electric,urban_cruising,9,1.9244444444444444,0.802,5.5846,6.019,1.1333333333333333,1.27,1.8259999999999998,1.99,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.8096764777777758,1.4473483412698385
mildhybrid,Braking,9,2.2274444444444446,1.485,4.6952,5.53,1.1266666666666667,0.97,1.912,1.92,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",1.929472940476188,0.9254547619047622
mildhybrid,acclerating,9,2.236666666666667,1.699,4.64,5.122,0.7122222222222222,0.78,1.24,1.24,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",1.494429190476191,0.6059453571428571
hybrid,Braking,9,3.0728888888888886,2.73,4.4845999999999995,5.033,0.9666666666666668,0.88,1.9959999999999996,2.64,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.5519443809523774,1.0252701984126988
electric,High Voltage power lines around,9,2.1759999999999997,2.026,4.3464,4.634,0.8888888888888888,0.63,1.9159999999999995,2.52,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.223519511904762,0.9321149603174601
hybrid,vicinity of charging station,9,1.5198888888888888,1.145,2.967199999999999,3.806,1.7833333333333334,1.07,2.97,2.97,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",1.232965988888888,1.4813172857142929
electric,vicinity of charging station,9,1.6623333333333334,1.221,3.3771999999999998,3.766,0.9533333333333331,1.16,1.16,1.16,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",1.195546839682543,1.1401600000000067
electric,While charging,9,2.207333333333333,2.441,2.674,2.73,1.2455555555555555,1.33,1.44,1.44,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",2.0211321944444434,1.1225153571428574
mildhybrid,vicinity of charging station,9,1.141,0.866,2.4132,2.602,1.2655555555555553,0.9,2.21,2.29,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.8754970833333311,1.4566729047619018
electric,Braking,9,1.1154444444444445,1.004,1.59,1.59,1.1766666666666667,0.85,2.54,2.54,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",1.2006435317460313,1.3654941111111094
electric,acclerating,9,1.0665555555555555,1.069,1.5062,1.559,1.1644444444444444,1.05,2.5079999999999996,3.02,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",1.1626715126984124,1.580488492063492
electric,Starting the engine,9,1.0736666666666668,1.007,1.3712,1.424,0.7344444444444445,0.86,1.3159999999999998,1.44,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",1.013906382539683,0.6246151904761905
mildhybrid,Starting the engine,9,0.7266666666666667,0.633,1.0072,1.064,0.5911111111111111,0.59,0.872,0.92,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.655562519047618,0.5802563650793654
hybrid,Starting the engine,9,0.7322222222222222,0.659,0.976,1.01,0.6166666666666667,0.62,0.9019999999999999,0.97,200.0,3,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.864903607142857,0.6144144444444442
